Customer ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Customer Status,City,Zip Code,Latitude,Longitude,NPS_baseline,NPS_enrichi,NPS_enrichi_v2,NPS_label
8779-QRDMV,No,0,1,,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,3,Yes,1,91,5433,Competitor,Competitor offered more data,Churned,Los Angeles,90022,34.02381,-118.156582,Detracteur,Detracteur,Detracteur,Detracteur
7495-OOKFY,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,3,Yes,1,69,5302,Competitor,Competitor made better offer,Churned,Los Angeles,90063,34.044271,-118.185237,Detracteur,Detracteur,Detracteur,Detracteur
1658-BYGOY,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2,Yes,1,81,3179,Competitor,Competitor made better offer,Churned,Los Angeles,90065,34.108833,-118.229715,Detracteur,Detracteur,Detracteur,Detracteur
4598-XLKNJ,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,Yes,1,88,5337,Dissatisfaction,Limited range of services,Churned,Inglewood,90303,33.936291,-118.332639,Detracteur,Detracteur,Detracteur,Detracteur
4846-WHAFZ,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,2,Yes,1,67,2793,Price,Extra data charges,Churned,Whittier,90602,33.972119,-118.020188,Detracteur,Passif,Passif,Passif
4412-YLTKF,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,1,Yes,1,95,4638,Competitor,Competitor had better devices,Churned,Pico Rivera,90660,33.989524,-118.089299,Detracteur,Detracteur,Detracteur,Detracteur
0390-DCFDQ,Yes,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,2,Yes,1,76,3964,Other,Don't know,Churned,Los Alamitos,90720,33.79499,-118.065591,Detracteur,Detracteur,Detracteur,Detracteur
3445-HXXGF,Yes,6,58,Offer B,No,0.0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,1,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction,Churned,Sierra Madre,91024,34.168686,-118.057505,Detracteur,Detracteur,Detracteur,Detracteur
2656-FMOKZ,No,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,2,Yes,1,91,5717,Dissatisfaction,Limited range of services,Churned,Pasadena,91106,34.139402,-118.128658,Detracteur,Detracteur,Detracteur,Detracteur
2070-FNEXE,No,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,2,Yes,1,81,4419,Price,Lack of affordable download/upload speed,Churned,Pasadena,91107,34.159007,-118.087353,Detracteur,Detracteur,Detracteur,Detracteur
