index,NPS_label,noisy,verbatim
2177,Detracteur,False,"""I've been trying to get a working SIM card for weeks now and your team just keeps passing the buck. I'm still waiting for someone to fix this issue and it's getting ridiculous."""
2245,Detracteur,False,"""I've been trying to troubleshoot the internet issue for hours and your technical support keeps giving me runaround answers that don't fix the problem. I'm paying 88 dollars a month for this shoddy service and it's unacceptable."""
2066,Detracteur,True,"""I'm glad you were able to help me resolve the issue with my data speeds, but I'm still a bit frustrated that it took multiple calls to get someone who could actually fix the problem."""
5196,Detracteur,False,"""I've been trying to get a signal in my neighborhood for months now, but it's still not working. I've spoken to multiple reps before and nothing has changed. Can't you just send someone to fix the problem already?"""
4260,Detracteur,False,"""I've been trying to resolve this issue for weeks, but no one seems to care. My internet connection keeps dropping out and I'm fed up with the constant excuses and lack of resolution. Can someone please just fix it already?"""
2370,Detracteur,False,"""I've been trying to get my SIM activated for two weeks now and it's still not working. Your supposed 'expedited activation' process is a joke, I got the same runaround from your reps every time I call."""
2128,Detracteur,False,"""I've been dealing with the same issue for weeks now - my internet is still slow and I'm paying top dollar for it. Your support team just keeps telling me to restart my modem like it's going to solve anything."""
6885,Detracteur,False,"""I've been having the same problem for weeks now - my internet connection is dropping every hour or so. I've tried restarting the modem like you told me last time, but it's still happening. Can't believe I'm paying over $100 a month for service that doesn't even work half the time."""
1756,Detracteur,False,"""I've been having the same problem with my data connection for weeks now, I'm tired of being told to restart my phone or check my settings when it's clearly a network issue. You're just passing me around from one agent to another, no one is actually trying to fix this."""
2368,Detracteur,False,"""I've been having the same problem with my data speed for weeks now and I'm sick of getting the runaround from your customer support team. You people just keep telling me it's a 'known issue' but nobody seems to care about fixing it or even acknowledging that it's a real problem."""
5135,Detracteur,False,"""I've been dealing with dropped calls and poor network quality for months now, and it's getting ridiculous. Your team always tells me to restart my phone or check the antenna position, but that doesn't solve anything."""
1144,Detracteur,False,"""This is ridiculous, I've been on hold for 45 minutes and no one has picked up yet. When someone finally answered, they told me it's a 'known issue' with the billing system and they'll have to escalate my case. Meanwhile, I'm still waiting for them to fix the problem from last month."""
1849,Detracteur,False,"""I've been trying to get a simple question answered for the past 30 minutes and nobody seems to care. Your 'support' is just a joke. I'm seriously considering switching to another provider after only one month with you."""
2375,Detracteur,False,"""I've been trying to get a decent internet signal for two months now and it's still not working properly. I've called multiple times and each time you guys just send someone to fix the issue temporarily, but it keeps coming back. Can't believe I'm paying $20 a month for this subpar service."""
200,Detracteur,True,"""I'm generally happy with the coverage and speed, but I did have some trouble setting up my new router yesterday. The representative was patient and helpful, but it took a bit longer than expected to get everything sorted out."""
2235,Detracteur,False,"""I've been trying to get this data roaming issue fixed for weeks now and your team just keeps passing the buck. First, they told me to reset my phone, then they said it was a network problem, but nothing's changed. I'm still paying $56 a month for service that doesn't work outside of Nigeria!"""
1398,Detracteur,False,"""I've been having the same problem for weeks now - my data is super slow and I'm always losing connection. You guys promised to fix it last time but nothing's changed. Can someone actually do something this time?"""
1342,Detracteur,False,"""I've been complaining about the same issue for months now - my data speeds are consistently slow and I'm still getting dropped calls all the time. Your people just keep telling me to restart my phone or update my SIM card, but nothing ever changes. I'm fed up with wasting my money on a service that doesn't work as promised."""
9,Detracteur,False,"""I'm still waiting for the issue with my data speed to be resolved, it's been two weeks since I spoke to your support team and nothing has changed. Your people promised to escalate the matter but no one has contacted me yet."""
2432,Detracteur,False,"""I've been trying to get help for my data issues for weeks now, but no one seems to care. I was promised a solution when I spoke to someone last week, but nothing's changed and I'm still getting slow speeds. This is ridiculous."""
6106,Detracteur,False,"""I've been complaining about the same issue for weeks now - my data speeds are consistently slow during peak hours - and nothing seems to be done to fix it. I'm paying $80 a month for what feels like dial-up speeds. Unbelievable that you guys can't even get this right."""
1261,Detracteur,True,"""I appreciate that you were able to resolve the issue with my data roaming charges, but I'm still waiting for someone to call me back about the faulty modem I've been experiencing problems with since day two of using your services."""
1168,Detracteur,True,"""I'm glad you guys were able to resolve the issue with my data speed, it's been a lot better since then. Still having some trouble with the app though, keeps crashing on me when I try to check my balance."""
4779,Detracteur,True,"""I'm glad you were able to resolve the issue with my internet connection, but I still think it's weird that I have to pay extra for a static IP address when other operators offer it as standard."""
4892,Detracteur,False,"""I've been having this same problem for weeks now and your team keeps telling me it's on their end, but nothing gets fixed. I'm tired of paying 36 bucks a month for services that don't work as promised."""
3829,Detracteur,False,"""I've been waiting for 3 days to resolve this issue with my data speeds, and all I got was a automated message saying 'our team will get back to you soon'. This is ridiculous, I'm paying $117 every month and still getting slow internet."""
1282,Detracteur,False,"""I've been trying to get a decent internet connection for weeks now and nothing's changed. Your tech team keeps sending me the same generic emails saying 'please restart your router' like that's going to fix anything."""
436,Detracteur,False,"""I've been trying to resolve this issue for weeks now, but no one can seem to fix the problem. My data speeds are still slow as hell and I'm getting tired of paying top dollar for a service that doesn't deliver. Can someone please just give me a straight answer instead of passing me around like a hot potato?"""
189,Detracteur,True,"""I was finally able to resolve the data roaming issue, but it took a few escalations and I'm still not sure why it happened in the first place. Overall, I appreciate that the team listened and tried to help."""
7039,Detracteur,False,"""I've been waiting for 3 hours to speak with someone who actually knows what they're doing. I just wanted to change my plan but your system keeps telling me my new package is unavailable and I'm being forced to pay a ridiculous fee to upgrade."""
244,Detracteur,True,"""I was happy that the representative was able to resolve my issue with data roaming charges, but I'm still having some trouble getting a clear answer on how to manage my international calling plan."""
2503,Detracteur,False,"""I've been dealing with slow internet for weeks and no one seems to care. I've sent multiple complaints through the app and still nothing's being done. Your network is supposed to be reliable but it feels like you're just not bothered."""
1945,Detracteur,False,"""I've been trying to get a signal in my area for weeks now and it's still spotty at best. Your customer support team told me I needed to upgrade to a better plan, but that costs more money than what I'm already paying! Can you just fix the problem instead of giving me some vague solution?"""
6137,Detracteur,False,"""I've been having the same problem with my data speed for months now and nothing's being done about it. I'm paying top dollar for this service and I expect better than what I'm getting."""
1485,Detracteur,True,"""I appreciate that you guys were able to help me with my internet connectivity issue so quickly, but I'm still having some trouble getting the speeds I need for work. The representative was really helpful and knowledgeable."""
4042,Detracteur,False,"""I've been trying to get a data plan for months now and your team just keeps telling me it's not possible on my current plan. It's ridiculous that I have to pay full price for no service at all. You guys are really dropping the ball."""
2080,Detracteur,False,"""I've been waiting for 3 weeks for my SIM card to be activated and I'm still getting nowhere. Your reps just keep passing me around like a hot potato and nobody can give me a straight answer on when it'll actually work."""
